date,CPI
01/12/1977,55.16570326
01/01/1978,55.25044321
01/02/1978,55.25044321
01/03/1978,55.25044321
01/04/1978,55.41992309
01/05/1978,55.58940298
01/06/1978,55.58940298
01/07/1978,55.58940298
01/08/1978,55.58940298
01/09/1978,55.58940298
01/10/1978,55.58940298
01/11/1978,55.75888287
01/12/1978,55.92836275
01/01/1979,56.26732253
01/02/1979,56.77576219
01/03/1979,57.28420185
01/04/1979,57.70790157
01/05/1979,58.04686134
01/06/1979,58.38582112
01/07/1979,58.80952084
01/08/1979,58.97900072
01/09/1979,59.3179605
01/10/1979,59.65692027
01/11/1979,59.82640016
01/12/1979,60.16535993
01/01/1980,60.92801942
01/02/1980,61.60593897
01/03/1980,61.94489875
01/04/1980,62.45333841
01/05/1980,62.6228183
01/06/1980,62.6228183
01/07/1980,62.70755824
01/08/1980,62.70755824
01/09/1980,62.6228183
01/10/1980,62.79229818
01/11/1980,63.2159979
01/12/1980,63.47021773
01/01/1981,64.06339734
01/02/1981,64.48709705
01/03/1981,65.08027666
01/04/1981,65.50397638
01/05/1981,65.92767609
01/06/1981,66.18189593
01/07/1981,66.69033559
01/08/1981,67.19877525
01/09/1981,67.45299508
01/10/1981,67.45299508
01/11/1981,67.53773502
01/12/1981,67.70721491
01/01/1982,68.38513446
01/02/1982,68.55461435
01/03/1982,68.55461435
01/04/1982,69.06305401
01/05/1982,69.23253389
01/06/1982,69.57149367
01/07/1982,69.74097356
01/08/1982,69.8257135
01/09/1982,69.99519339
01/10/1982,70.16467327
01/11/1982,70.16467327
01/12/1982,69.99519339
01/01/1983,69.99519339
01/02/1983,69.8257135
01/03/1983,69.65623361
01/04/1983,69.99519339
01/05/1983,69.99519339
01/06/1983,70.16467327
01/07/1983,70.24941322
01/08/1983,70.75785288
01/09/1983,71.01207271
01/10/1983,71.09681265
01/11/1983,71.26629254
01/12/1983,71.43577243
01/01/1984,71.7747322
01/02/1984,71.94421209
01/03/1984,72.02895203
01/04/1984,72.19843192
01/05/1984,72.36791181
01/06/1984,72.36791181
01/07/1984,72.45265175
01/08/1984,72.45265175
01/09/1984,72.70687158
01/10/1984,73.04583135
01/11/1984,73.04583135
01/12/1984,73.1305713
01/01/1985,73.55427102
01/02/1985,73.89323079
01/03/1985,73.97797073
01/04/1985,74.23219056
01/05/1985,74.31693051
01/06/1985,74.23219056
01/07/1985,74.14745062
01/08/1985,73.97797073
01/09/1985,74.06271068
01/10/1985,73.89323079
01/11/1985,73.80849085
01/12/1985,73.63901096
01/01/1986,73.46953107
01/02/1986,73.21531124
01/03/1986,72.79161152
